Healthy	Obesity
6.279472762	5.984518849
6.014286033	4.949881146
5.541665894	5.648432666
6.105073605	5.023069547
6.111211476	5.576589301
6.166576768	5.554561084
6.077028307	5.910537772
6.19146497	5.487438767
6.193423721	5.39443171
5.720667701	4.273124957
5.245252168	5.785368075
5.900493076	5.656842949
5.499949203	5.073493239
5.409361832	5.516155974
6.150091873	5.891245868
6.49656918	5.851467533
	5.39250577
	5.86399416
	5.198553869
	5.225282051
	6.018183768
	5.215771586
	5.497685678
	5.565915645
	4.853090229
	5.765320915
	4.499661616
	5.379172292
	5.852280437
	5.059715466
	4.845194527
	5.273535324
	5.116228071
	5.556874973
