Sample	PCoA1	PCoA2																																														
H-1	-0.079022549	-0.028621829																																														
H-2	-0.060601901	0.023534305																																														
H-3	-0.019770274	0.065245832																																														
H-4	-0.059974286	-0.026597673																																														
H-5	-0.070273638	0.003287654																																														
H-6	-0.053529179	-0.028616808																																														
H-7	-0.071017655	0.009231217																																														
H-8	-0.075164778	0.00680188																																														
H-9	-0.08793046	-0.015878407																																														
H-10	-0.024037388	0.017458119																																														
H-11	-0.006166197	0.037552055																																														
H-12	-0.086937341	-0.007249881																																														
H-13	-0.069716316	0.004151322																																														
H-14	-0.059799756	0.021752939																																														
H-15	-0.088337311	-0.023293593																																														
H-16	-0.093702099	-0.026972904																																														
OB-1	0.00800574	-0.042243173																																														
OB-2	0.031303608	0.013385203																																														
OB-3	0.030387553	-0.042678848																																														
OB-4	0.031213985	0.008298583																																														
OB-5	0.029191354	0.005021347																																														
OB-6	0.042249103	0.015883589																																														
OB-7	0.018275462	-0.017510269																																														
OB-8	0.03104434	-0.013839315																																														
OB-9	0.025276135	-0.005249254																																														
OB-10	0.092560175	0.039906478																																														
OB-11	0.015420405	-0.016269687																																														
OB-12	0.030447662	-0.021084863																																														
OB-13	0.063438763	0.009752533																																														
OB-14	0.04780953	-0.003441624																																														
OB-15	0.014280044	-0.03033395																																														
OB-16	0.008037561	-0.034964709																																														
OB-17	0.04251498	-0.040664421																																														
OB-18	0.016569281	-0.010709428																																														
OB-19	0.05666447	0.015027594																																														
OB-20	0.034043519	0.009410843																																														
OB-21	0.02726905	-0.020227058																																														
OB-22	0.062240423	-0.001983529																																														
OB-23	0.040988597	-0.028200888																																														
OB-24	0.038241495	-0.028192837																																														
OB-25	0.058923121	-0.035774332																																														
OB-26	0.017934962	-0.035546938																																														
OB-27	0.03865015	0.016254356																																														
OB-28	0.048744509	0.039302948																																														
OB-29	0.039569719	-0.035980992																																														
OB-30	-0.001769376	0.091371255																																														
OB-31	-0.010356566	0.08118614																																														
OB-32	-8.25E-04	0.013256093																																														
OB-33	-0.016598744	0.041466365																																														
OB-34	-0.005765312	0.03358856																																														
