Healthy	Obesity
0.000984	0.000235
0.000233	0.000246
0.0000581	0.000293
0.000137	0.0000348
0.000207	0.0000479
0.0000959	0.0000212
0.006831	0.000573
0.007457	0.0000596
0.003509	0.0000651
0.00036	0.001214
0.000584	0.00098
0.001059	0.001335
0.000885	0.00000519
0.000538	0.0000696
0.000296	0.000135
0.000299	0.000412
	0.000399
	0.000128
	0.000196
	0.0000613
	0.0000477
	0.0000052
	0
	0
	0.0000114
	0.002738
	0.000138
	0.000264
	0.000123
	0.000148
	0.000713
	0.00022
	0.000899
	0.0000252
