PG.ProteinAccessions	NCD1	NCD2	NCD3	NCD4	HFD1	HFD2	HFD3	HFD4	HFD+LEf-M1	HFD+LEf-M2	HFD+LEf-M3	HFD+LEf-M4	HFD+LEf-H1	HFD+LEf-H2	HFD+LEf-H3	HFD+LEf-H4
A0A0B4J1G0	21.9926281	0	0	0	26.21913147	63.21511841	112.3825836	47.51195145	57.26134491	24.51990318	37.66942215	0	0	78.70339203	31.26231003	0
A0A0G2JDV3	45.14503098	78.30323792	0	0	68.13237	34.02627563	55.19091034	74.15913391	0	0	0	62.93530273	45.38018036	111.2344666	0	279.7221985
A0A140LIF8	30.56372452	89.116539	66.90239716	57.10767365	184.9984894	49.3697052	29.3743248	201.3688202	0	76.53734589	0	14.66457748	54.78929138	91.07824707	65.33673859	217.9844666
A0JNU3	590.2568359	746.7251587	783.5441284	641.3045654	550.201355	543.6970215	338.3148193	736.7105713	403.8614807	589.6847534	615.0627441	565.5291748	558.3007813	551.1337891	669.4769287	640.168396
A1IGU4	0	0	0	0	0	0	73.50246429	0	0	0	0	0	0	0	0	0
A1L314	94.27809143	48.50188065	0	69.08752441	184.27771	82.28082275	520.7374878	162.0167999	0	74.28314209	99.94900513	160.631012	44.04050446	137.8019867	103.9916534	188.9545288
A2A432	86.42655182	72.46793365	80.06925964	94.58301544	175.3759918	64.509758	192.308075	93.84390259	52.32975388	59.10778427	50.64780426	74.08560944	78.55089569	130.1079712	104.2277908	212.7180328
A2A4P0	0	0	0	15.24974823	0	50.82891083	68.64276886	0	79.13813019	45.23257065	0	0	0	0	0	0
A2A5R2	84.77206421	97.20532227	73.6565094	114.3172684	98.58411407	60.45314407	65.89093018	113.874733	69.92739868	80.55444336	89.12767792	50.05641937	82.11747742	72.54998779	71.85588074	123.7221756
A2A8L5	26.05946541	33.11969757	21.44692802	19.12991905	13.04212761	16.09289932	0	0	21.86117744	73.24594116	0	10.17035389	20.54661369	34.13697815	10.50382328	0
A2A8U2	0	0	37.95252228	36.49411774	30.08336258	67.30748749	41.05997849	56.84373474	17.44891548	64.0664978	2.217855453	35.58064651	47.06229019	26.26281357	0	0
A2A8Z1	88.76218414	149.6569672	100.3258438	49.03544998	131.4054718	106.8699722	149.5976868	102.6313553	118.5484772	93.78359985	50.91094971	60.55363846	63.41197968	58.81109619	63.71869659	306.0696411
A2A974	2961.42749	6444.085938	5022.22998	5375.601074	4160.82666	6177.933105	3373.306885	5671.466309	5122.152832	4687.363281	3850.177979	4428.705078	4792.334473	3007.238281	6713.168945	4985.800781
A2AAJ9	625.5210571	271.453064	256.5435486	439.5226135	446.0559998	884.6480103	290.2687988	580.4862061	323.0472412	543.8704224	558.8004761	777.7316895	514.3370361	429.2240906	421.7167358	0
A2AAY5	0	0	0	0	15.81681919	0	162.8130493	23.21360779	56.82886505	0	0	15.53835201	0	55.89877701	0	0
A2ADY9	935.7147827	1145.24231	893.9129639	708.3251343	765.3049927	866.7114868	846.4158325	696.2038574	868.4836426	854.6644897	828.7456055	1060.358276	895.1500854	796.4123535	898.8827515	970.7435303
A2AGT5	75.11116028	142.2120209	92.4333725	108.8524857	54.43357468	94.43963623	147.4705963	92.71355438	136.9159851	105.6701355	168.3168793	77.34368896	125.8372269	46.4648819	85.18084717	65.17539215
A2AIL4	147.088913	144.1858673	320.9549561	198.8096924	109.6638947	106.7357635	136.5409241	188.0990295	154.4979553	272.655365	79.99146271	161.1166382	154.0588379	300.4691162	177.3105011	140.6623688
A2AJ88	23.94563675	0	57.56222916	0	15.1583519	4.190680504	28.05734634	65.30737305	12.81259823	0	73.11425781	0	63.26372528	0	12.04613304	0
A2AJL3	599.4003906	486.3618164	683.1867676	577.440918	661.9562378	639.8414307	427.3579712	542.5800781	595.1077271	595.7834473	565.354248	697.7803955	541.109375	577.3702393	535.4865723	835.8787842
A2AKG8	0	0	34.81319809	19.10969543	52.97486877	67.96960449	77.44124603	31.93093491	47.13144302	76.80836487	59.63459778	22.81836891	0	59.41173172	50.31917191	0
A2AKK5	279.0982666	400.6482849	403.9116516	286.8941345	617.6115112	438.1105347	428.8495789	509.8220825	327.0488892	383.7776184	269.3572998	475.8847046	349.6147156	408.0384216	329.0134888	457.3582764
A2ALW5	0	0	23.30565453	0	0	0	0	0	29.71678352	0	58.24044037	0	0	0	0	0
A2AN08	216.7432251	171.9020844	180.6088104	193.9240417	224.3861694	276.1558533	241.0029144	211.560318	205.3606262	215.2045746	213.1939697	237.3882599	196.4076538	223.0264587	176.738678	164.4291992
A2APY7	14.53655529	51.23661041	29.26645851	55.57131577	11.79623413	0	0	36.86328888	0	0	35.17440414	22.94114113	72.81607819	52.66143417	36.783741	0
A2AQ07	64.50106049	131.6943207	0	73.71538544	76.91249084	69.25414276	166.6488495	35.22189713	131.1429749	109.1166611	62.37093735	203.4264069	65.91609955	82.03103638	90.04401398	0
A2AQ25	0	0	0	38.36257553	0	43.88558578	76.315979	32.28551865	43.06348038	0	20.23350143	44.92350006	20.36416435	14.37958622	0	0
A2AR02	29.70177078	56.83359146	81.94734192	0	101.763443	77.85985565	142.9416656	79.24938965	35.73062515	92.37662506	105.9534073	135.3072205	47.22119141	52.12998199	151.2094269	0
A2AS89	3563.212158	3440.578857	2585.31543	4235.946289	2037.934082	3060.77124	1911.969849	1971.823975	2843.884033	3315.188477	3259.233887	3044.568604	2718.422363	3415.950684	3706.953857	1889.611938
A2ASQ1	70.28102112	222.1493225	33.45458221	54.72460556	58.60622787	52.97547531	73.26579285	17.98279381	20.11243248	64.5588913	28.23173714	39.81511307	60.12670898	55.16284943	18.88117218	0
A2ASZ8	153.4101563	179.5654449	171.3425293	171.0626831	97.73215485	105.5588303	61.096035	126.3405304	102.8812943	140.4684143	127.5514603	121.0089417	143.4680481	123.920723	141.3802795	172.5755463
A2AT37	63.84353256	62.98046112	79.53401184	80.21566772	132.759613	190.3263245	167.7668152	59.46428299	153.186142	149.8481445	143.5307465	144.39328	83.50623322	75.65315247	156.5310669	0
A2ATU0	1340.628418	1198.878418	1198.745483	1200.90979	754.546936	655.7768555	730.1351318	418.2561646	734.0432739	665.9415894	600.8946533	630.8668823	844.866272	652.9840088	802.6702881	1126.276001
A2AWA9	44.26890564	32.80441284	15.30882454	37.33786011	64.897995	34.98720932	57.19479752	57.36920929	64.87949371	24.73464394	69.08110046	57.46546555	54.32939529	20.9287281	49.47484207	45.65348816
A2BDX3	25.90261269	144.7886658	63.33861542	22.10231018	82.86995697	93.03875732	79.91277313	79.83961487	105.2226868	56.42811584	87.05531311	18.15862846	57.83002472	76.48252106	68.6574173	180.8094482
A2BE28	25.87551689	63.29396439	60.21748734	46.85228729	11.31388187	116.1081009	54.5002861	3.753415346	22.58628654	7.805018902	27.25496864	0	39.08043289	23.66649628	52.3884697	0
A2BIM8;P02762;P04938	60667.95313	61971.28516	56341.28516	63901.20313	18626.33203	142832.1563	17389.50586	79725.77344	134105.3594	63563.30469	59056.91406	104116.7813	61928.58984	59854.58203	80002.98438	55684.75391
A2RSQ0	28.12841606	0	57.96643829	16.03808403	36.62155533	48.62648392	36.82848358	9.202223778	30.27440453	9.398168564	3.225827456	51.61172867	22.86785698	65.96759033	20.9469471	0
