Index	p_value	Fold_Change	type	-Log10P	Log2FC
A0A0B4J1G0	0.233902588	0.479088968	Insignificant	0.630964974	-1.061634502
A0A0G2JDV3	0.462250637	0.271848555	Insignificant	0.335122482	-1.879124937
A0A140LIF8	0.381248858	0.196086218	Insignificant	0.418791448	-2.350439959
A0JNU3	0.459992764	1.002404135	Insignificant	0.337249	0.003464271
A1L314	0.38058899	0.352742691	Insignificant	0.419543779	-1.503311904
A2A432	0.276612366	0.448962003	Insignificant	0.558128409	-1.155334744
A2A4P0	0.630000611	1.041005711	Insignificant	0.20065903	0.057977983
A2A5R2	0.635377874	0.854968836	Insignificant	0.196967913	-0.22605626
A2A8L5	0.599953633	3.613433162	Insignificant	0.221882313	1.853370209
A2A8U2	0.466525835	0.610943353	Insignificant	0.331124301	-0.710889477
A2A8Z1	0.504273872	0.660129875	Insignificant	0.297333534	-0.599178204
A2A974	0.926083182	0.933183812	Insignificant	0.033350003	-0.099766814
A2AAJ9	0.708000747	1.000904316	Insignificant	0.149966284	0.001304062
A2AAY5	0.585213967	0.358531365	Insignificant	0.232685317	-1.479828761
A2ADY9	0.602005765	1.137847558	Insignificant	0.22039935	0.186307287
A2AGT5	0.777064003	1.254947823	Insignificant	0.109543209	0.327627382
A2AIL4	0.646516648	1.235143244	Insignificant	0.189420287	0.304678366
A2AJ88	0.959106573	0.762345807	Insignificant	0.018133133	-0.39148253
A2AJL3	0.858233225	1.080242653	Insignificant	0.066394677	0.111355418
A2AKG8	0.19376547	0.896126141	Insignificant	0.712723614	-0.158226271
A2AKK5	0.26293938	0.730080779	Insignificant	0.580144365	-0.453871996
A2AN08	0.219308415	0.914009681	Insignificant	0.658944703	-0.129718648
A2APY7	0.402910778	1.194330353	Insignificant	0.394791115	0.256201942
A2AQ07	0.603191635	1.454030541	Insignificant	0.21954469	0.540057572
A2AQ25	0.555043931	0.709702615	Insignificant	0.255672642	-0.494713473
A2AR02	0.345610732	0.919250082	Insignificant	0.46141278	-0.121470694
A2AS89	0.189973028	1.387461863	Insignificant	0.721308055	0.472448117
A2ASQ1	0.566794981	0.752935738	Insignificant	0.246574004	-0.409401357
A2ASZ8	0.045528836	1.258959369	Up	1.341713452	0.332231723
A2AT37	0.181278726	1.073850662	Insignificant	0.741653161	0.102793375
A2ATU0	0.004120429	1.028542182	Insignificant	2.38505757	0.040600962
A2AWA9	0.395056434	1.007980876	Insignificant	0.403340861	0.011468267
A2BDX3	0.858233225	0.795042209	Insignificant	0.066394677	-0.33089664
A2BE28	0.544065448	0.310467546	Insignificant	0.264348854	-1.687485626
