Index	p_value	Fold_Change	type	-Log10P	Log2FC	
P51807	0.167974152	0.02237305	Insignificant	0.774757544	-5.482094236	
Q9QXH4	0.66163927	0.028053026	Insignificant	0.179378726	-5.155699781	
Q9DBS9	0.282917443	0.03214504	Insignificant	0.548340276	-4.959260065	
C0HKD8;C0HKD9	0.534886946	0.039612133	Insignificant	0.271738001	-4.657913801	
Q91VU7	0.571279115	0.052258982	Insignificant	0.243151653	-4.258177172	
Q8BWR8	0.302765685	0.05301846	Insignificant	0.518893348	-4.237361432	
P97425;P97426	0.578912116	0.060635063	Insignificant	0.237387361	-4.043703895	
Q99NH0	0.355664273	0.066414199	Insignificant	0.448959758	-3.912364471	
Q3TBT3	0.273032651	0.066533498	Insignificant	0.563785415	-3.909775296	
P27005	0.609341149	0.071028914	Insignificant	0.215139493	-3.815449771	
Q99P91	0.649523489	0.071970715	Insignificant	0.187405138	-3.796446207	
P07091	0.594834502	0.074052535	Insignificant	0.225603849	-3.755307074	
O70145	0.39238453	0.081324108	Insignificant	0.406288124	-3.620173095	
Q8K2V6	0.734480883	0.082481093	Insignificant	0.134019503	-3.599792738	
P14069	0.618515949	0.088327744	Insignificant	0.208649097	-3.500989527	
P20065	0.284399698	0.093748289	Insignificant	0.546070869	-3.415063836	
Q8CBA2	0.347041693	0.096974223	Insignificant	0.459618347	-3.366254872	
P97369	0.331197677	0.09817631	Insignificant	0.479912718	-3.348481246	
P31725	0.571670189	0.100546205	Insignificant	0.242854454	-3.314069464	
B2RSH2	0.381277261	0.101085557	Insignificant	0.418759095	-3.306351217	
P11672	0.447695254	0.101778136	Insignificant	0.349017509	-3.296500418	
P63168	0.291771371	0.10402381	Insignificant	0.534957324	-3.265014305	
Q9Z183	0.679624439	0.10427004	Insignificant	0.167731012	-3.261603409	
P49290	0.625724418	0.106027791	Insignificant	0.203616897	-3.237485641	
Q3UP87	0.657361965	0.106287583	Insignificant	0.182195428	-3.233955035	
Q504P2	0.572068164	0.107708985	Insignificant	0.242552221	-3.214789485	
Q91YR5	0.680580273	0.109767062	Insignificant	0.167120643	-3.187482886	
P11928	0.149513354	0.110493828	Insignificant	0.825320015	-3.177962304	
Q9DCJ1	0.432702028	0.111586407	Insignificant	0.363811069	-3.163766802	
P04231;P18468;P20040	0.2262886	0.111975798	Insignificant	0.645337325	-3.158741143	
Q61420	0.13931943	0.122331769	Insignificant	0.855988312	-3.031128979	
P04247	0.571670189	0.128738811	Insignificant	0.242854454	-2.957481045	
Q8R2T8	0.534886946	0.128904413	Insignificant	0.271738001	-2.955626441	
P51437	0.594120203	0.129591592	Insignificant	0.226125679	-2.947955974	
Q8K124	0.403113541	0.130822323	Insignificant	0.394572613	-2.93431936	
P59764	0.324147455	0.132271071	Insignificant	0.489257384	-2.918430531	
Q8R001	0.243138504	0.132726613	Insignificant	0.61414626	-2.91347042	
P52482;P52483;Q91W82	0.640248274	0.134584318	Insignificant	0.193651584	-2.893417781	
Q62230	0.294069902	0.13529609	Insignificant	0.531549424	-2.885807952	
Q8BH97	0.170576778	0.135701713	Insignificant	0.768080094	-2.881489162	
Q91VE6	0.570281234	0.136249509	Insignificant	0.243910919	-2.875677061	
Q9EQ61	0.23768571	0.137232356	Insignificant	0.623996928	-2.865307427	
P30355	0.658149868	0.138064976	Insignificant	0.181675201	-2.856580705	
Q9D3N8	0.651917009	0.138388444	Insignificant	0.185807688	-2.853204623	
P07310	0.347647096	0.139972474	Insignificant	0.458861394	-2.836784951	
O55091	0.444291956	0.140279502	Insignificant	0.35233155	-2.833623876	
P70248	0.398523352	0.143329322	Insignificant	0.399546226	-2.802594314	
P05555	0.516644056	0.144239198	Insignificant	0.286808563	-2.793464812	
P97471	0.464006459	0.144348808	Insignificant	0.333475974	-2.792368903	
Q9D4H2	0.320462794	0.146468262	Insignificant	0.494222386	-2.771340015	
P11404	0.512838181	0.146758311	Insignificant	0.290019649	-2.768485888	
P16110	0.534464656	0.148500376	Insignificant	0.272081009	-2.75146151	
P11247	0.594896878	0.149884312	Insignificant	0.22555831	-2.738078706	
Q91Z67	0.443998162	0.153202216	Insignificant	0.352618827	-2.706490934	
O08692	0.491352238	0.154608409	Insignificant	0.308607061	-2.69330931	
Q9DBR0	0.570281234	0.154756905	Insignificant	0.243910919	-2.691924315	
