Index	NCD1	NCD2	NCD3	NCD4	HFD1	HFD2	HFD3	HFD4	HFD+LEf-M1	HFD+LEf-M2	HFD+LEf-M3	HFD+LEf-M4	HFD+LEf-H1	HFD+LEf-H2	HFD+LEf-H3	HFD+LEf-H4
P03921	-0.390638261	-1.871993668	0.523260433	1.756642475	-1.531770556	-0.806569599	-0.922113588	-0.29395784	-0.760930692	0.576483984	0.560928266	0.85744725	0.30166701	0.047963794	1.185499014	0.768081977
Q9CPX8	1.037909167	-0.905250868	-1.865287412	0.515875474	-1.747545828	-0.961738677	-0.436891303	-0.336866484	1.052158252	0.796976891	1.560313453	0.217103675	0.306633897	-0.344313291	0.452851066	0.658071989
P26443	-0.381194814	-0.391011129	-1.201589424	-0.324070447	-1.618251058	-0.033316223	-1.408943658	-0.6322504	0.8170466	0.628186795	0.518073868	-0.244102103	0.608261093	0.735169673	0.580519449	2.347471779
P51174	1.445070153	0.456408265	1.145555645	1.702658147	-0.858709633	-0.491188382	-1.248839285	-0.213689797	-0.302942666	0.439268663	-0.423426511	0.154938302	-0.020358775	0.539623783	-0.060541635	-2.263826274
Q91WD5	1.73382678	1.144670864	1.39233211	1.321966595	-0.980553385	0.258871719	-1.871312676	-1.004217777	-0.2327716	-0.066920007	0.019255426	-0.743552522	0.045294007	-0.164679302	0.050560887	-0.90277112
P61922	1.655358581	1.080064558	1.212653664	1.863958295	-1.209741139	-0.170104299	-1.12008473	-1.192068128	-0.340507103	0.180993672	-0.610187396	-0.13808851	-0.661850933	-0.029955703	0.397761175	-0.918202004
Q99LC3	1.069242009	1.571327297	1.496327235	1.823940937	-0.515865106	-0.444901684	-1.287316814	-0.700719754	-0.853076255	-0.982900632	-0.285666633	0.336123707	-0.62844418	0.431036712	-0.189771377	-0.839335462
P97364	0.809271538	1.426608624	1.70546007	0.914890263	-0.967818932	-0.849541525	-0.969233961	-1.112674482	1.472547693	-0.252104424	0.161045192	0.248174091	-0.242053358	-0.789140147	-0.26884285	-1.286587792
Q9DB77	1.676043812	1.3893316	0.411875449	0.723793024	-1.691121575	-0.215992763	-1.70108831	-1.161972695	0.411270347	0.130055009	0.245315915	-0.79275298	0.061385296	0.286659831	-0.732049785	0.959247825
Q3UNX5	1.333328849	1.209894278	0.254802337	0.932548027	-0.923087856	-0.382381006	-1.606617509	-1.617855584	0.312297742	-0.767884925	-0.151205503	-0.212586943	0.418626688	0.592224098	-0.953202157	1.561099465
Q8K2B3	1.675497482	1.4654414	1.2871607	0.88234413	-1.011983165	-0.821722448	-1.544586098	-1.261362884	-0.040577965	-0.167602825	-0.21635261	-1.232915033	0.13568635	0.068965921	0.326988646	0.455018401
Q8VCX1	1.443432752	1.326186224	1.467155876	1.246330777	-0.688205213	-1.165351486	-1.322426089	-1.620862789	0.248473675	-0.263640383	0.120993369	-0.574629059	-0.5189244	-0.053518656	0.642750859	-0.287765456
P51881	1.66448539	0.333202205	0.619186338	1.769848556	-1.032228855	-0.809768309	-1.067891154	-1.772079551	0.041426639	-0.840171699	-0.303707843	0.110185778	-0.33782302	0.676281331	-0.144752199	1.093806393
P53395	1.43872772	1.26625786	0.770408385	1.991791691	-0.339642209	-0.498001557	-1.562537953	-0.635807177	-1.088516468	-0.101213774	-0.75154064	-0.992182556	-0.237968327	-0.242582537	0.164318208	0.818489333
P56480	1.754696381	0.927967247	1.057367209	1.834005015	-1.188344295	-0.156258643	-1.623236352	-0.737629305	-0.433755246	-0.18910523	-0.628906008	-0.62352197	-0.824490657	0.20430431	0.178348312	0.448559232
Q9DBF1	0.971700749	2.028103276	0.651945835	1.624109737	-1.102206829	-0.520360974	-1.638152923	-0.824658043	0.189566234	-0.644407644	-0.330300678	-0.833194962	-0.242766735	-0.301731258	0.209261175	0.763093041
P23589	1.943948806	1.798089338	0.944962327	1.370158088	-0.858849247	-0.303401383	-1.165998616	-1.083183178	-0.198082765	-0.919235741	-0.355981849	-0.650071899	-0.302756568	-0.530466274	0.145082106	0.165786855
Q9DCM0	1.150956717	1.711566618	1.548073583	1.839503269	-1.161478722	-0.656585997	-1.064730918	-0.853144494	-0.160318262	-0.370520644	-0.804063839	-0.410731961	-0.225653692	-0.538658379	0.045854785	-0.050068064
Q8R0Y6	1.781795634	1.416361975	1.75439147	1.504219977	-0.47134265	-0.776504627	-0.936854703	-0.914798652	-0.394168228	-0.470994949	-0.492460456	-0.830390473	-0.718281018	-0.324854632	-0.073001266	-0.0531174
Q9JHI5	1.424654849	2.125279054	1.200043117	1.218357551	-0.913889659	-0.433299305	-1.02250049	-0.994373609	-0.152722902	-0.434759085	-0.357082964	-0.445613875	-0.805052458	-0.165567886	-0.905393902	0.661921564
Q3UIU2	-0.978016663	1.219558806	0.874946278	0.6498769	-1.281462535	-0.285703239	-0.958414573	-1.545966526	-0.575755261	-0.375129266	-0.122442625	0.22498625	0.562607959	0.847048892	-0.401559431	2.145425033
Q8BGA8	0.425087366	0.62802318	0.075042856	0.405089988	-1.581802338	-1.167910029	-1.691908586	-0.738222264	-1.084944797	0.277827313	-0.084716801	0.560143063	0.506258706	1.288733239	0.348090578	1.835208526
