PG.UniProtIds	NCD1	NCD2	NCD3	NCD4	HFD1	HFD2	HFD3	HFD4	HFDLEA1	HFDLEA2	HFDLEA3	HFDLEA4
A0JNU3	1147.001831	1303.346924	1158.041748	1227.431274	1062.467651	923.3113403	941.0587769	1072.253296	1140.572144	1092.549316	977.0453491	1216.896606
A2A432	124.8653946	59.67987061	92.25585175	90.8497467	116.5681839	99.41706848	102.0762329	108.7731857	60.15594101	111.4334641	100.1194916	79.37911224
A2A5R2	75.20683289	167.1842041	62.74337006	98.84243011	160.9270172	75.3705368	162.1066742	54.79670334	95.66552734	136.0037689	65.6101532	74.98350525
A2A8L5	103.1075516	113.2025146	182.1087799	123.0766068	54.08466721	60.90431595	61.72599411	59.66931915	95.51360321	67.10346222	50.30308533	55.66684341
A2A8Z1	61.98921204	99.22401428	190.8797302	61.5668602	109.2633514	56.39759445	140.0439148	229.0370483	65.45666504	91.2758255	81.62026215	372.859375
A2A974	5260.827637	5158.860352	6843.569824	4997.782227	6864.040527	6470.466797	7854.629883	9095.621094	5371.38623	5101.63623	6742.405273	7124.908203
A2AAJ9	883.1137085	490.6419067	703.2810059	893.065979	917.663208	785.8008423	437.9996643	615.2531738	766.2591553	814.3742676	1005.530334	1162.528198
A2ADY9	1525.065186	1232.458984	997.1692505	1187.587524	1062.240356	1155.227661	1012.879456	1364.257202	1393.318848	1474.454102	1208.684692	1396.790161
A2AGT5	102.9586182	95.83376312	196.7603149	88.41670227	196.6181793	118.3011627	139.2133179	170.0010529	124.3919525	160.7802277	233.2634735	117.0691071
A2AIL4	148.9803467	141.4102173	68.3230896	187.1031494	111.7045822	62.8773613	47.99576569	70.9588089	116.7534561	79.86399841	105.4265137	26.01949883
A2AJL3	675.6985474	686.7496948	769.6763916	687.7476196	675.8779907	679.663208	599.2634277	682.3890381	848.6953125	695.0145874	656.673645	868.5645142
A2AKK5	590.0526123	484.8989868	470.1829834	435.9611816	609.1566772	528.9284058	710.1294556	557.6117554	603.4432983	543.5331421	567.9488525	386.4778442
