Index	NCD1	NCD2	NCD3	NCD4	HFD1	HFD2	HFD3	HFD4	HFDLEA1	HFDLEA2	HFDLEA3	HFDLEA4
Q9QY30	1.692560829	1.258932195	1.189688646	0.533454885	0.274453692	-0.449142926	0.168658494	-0.631461243	-0.886552323	-0.993277734	-0.926058835	-1.23125568
Q9D2G2	0.397586203	0.589484877	0.468362682	2.005200219	-0.783535016	-0.496848158	-1.243584423	-1.833072635	0.667225509	0.091534085	0.1778116	-0.040164943
Q8K2C6	0.144196301	1.420282935	0.344523839	1.692900309	-1.102783472	-0.453600469	-1.528922376	-1.313525254	0.02836783	-0.091451205	0.191698539	0.668313023
P16332	0.413839441	1.943283062	0.930460805	1.434480357	-1.153977508	-0.557750837	-1.273087965	-0.62887332	-0.134512043	-0.393651358	-0.036595082	-0.543615551
Q8VBT2	-0.170936221	2.211060627	0.760257991	0.902496325	-0.880132409	-0.981858828	-1.463487992	-0.760261528	0.345512754	0.075254702	0.210464625	-0.248370045
Q60936	0.851001544	1.929986507	0.255267128	0.658567688	-1.385204964	-0.711743986	-1.368998665	-0.655366864	0.812670602	0.035283271	0.324314078	-0.745776339
Q8CHT0	1.119717947	1.787808177	0.789310095	0.970690537	-0.497487808	-1.084433692	-1.276377459	-1.103170861	-0.473348606	-0.417250943	0.479519248	-0.294976636
P52840	0.682032928	2.06511707	1.021311368	0.738368863	-0.815090489	-0.84060189	-1.108352158	-1.194965007	-0.505443034	0.200469705	0.284371212	-0.527218567
P36552	0.717247029	1.575754167	1.059030238	0.674386545	-0.783489009	-0.775387638	-0.704058475	-1.891760318	-0.36583469	-0.231178444	0.948467403	-0.223176809
Q9WTP7	0.851919371	2.004277879	0.43256656	1.289514524	-1.257648511	-0.912452153	-0.563608374	-1.076451228	-0.532727703	-0.45453404	0.077325096	0.141818579
Q9JLC3	0.220253651	1.239658332	1.493203793	1.525594764	-1.077728142	-0.74435511	-1.077728142	-1.077728142	-0.479993426	0.522418428	-0.561640386	0.01804438
Q9CZS1	0.903393412	1.485807312	1.42824354	1.194835443	-0.915171013	-1.086403159	-1.252647091	-0.632100412	-0.338373334	-0.052507221	-0.627189643	-0.107887834
Q8R0Y6	1.457171671	1.503086313	0.412261288	1.23900592	-0.832850049	-0.961750666	-1.360404726	-1.125459449	-0.072470649	0.083945337	-0.400788466	0.058253477
Q9QXF8	0.846203481	1.737615061	0.752300352	1.339562396	-0.76084796	-0.849494026	-1.334893595	-1.324266227	-0.212647161	-0.130882869	0.012189917	-0.074839369
P35492	0.967432601	1.682091258	0.937203938	1.044013378	-0.696234356	-1.032127013	-1.479118158	-1.104147274	-0.237886501	0.369344195	-0.311469301	-0.139102767
P16460	1.103993968	1.718006066	0.437219507	1.26318186	-0.596352115	-0.866633606	-1.403476269	-1.293043037	-0.380559149	0.318187523	-0.110004121	-0.190520629
Q571F8	0.953431271	1.866991615	0.603366431	1.017022907	-0.96388744	-1.028287279	-1.529197463	-0.878906928	-0.294775743	0.109258072	0.082694232	0.062290325
P97364	1.077956354	1.685517271	0.432558871	1.160044862	-1.21415166	-1.066745975	-1.53910027	-0.356224922	-0.555206716	0.131015149	0.145870235	0.098466802
Q9DBT9	1.18077251	1.377013357	0.980649447	0.909163155	-1.164263673	-1.1208421	-1.393050005	-1.067987701	-0.032588265	-0.126709996	-0.001782618	0.459625889
O35215	1.313326786	0.96135903	0.928484085	1.075345287	-1.136187306	-1.509085719	-0.97168895	-1.15823375	-0.129742605	0.153280227	-0.167350051	0.640492966
P11352	1.357975366	1.211450562	1.334365438	1.431134116	-0.951836996	-0.806463979	-0.875547128	-0.627294652	-0.405704332	-0.650396666	-0.371535706	-0.646146023
Q99K67	1.044914298	1.621216601	1.368061191	1.108188398	-0.599601933	-0.825719728	-1.048735912	-1.078763306	-0.575685166	-0.463019064	0.022652985	-0.573508365
Q9DCM0	1.431099663	1.216021846	1.111337048	1.4330652	-0.623039922	-0.718049848	-1.047339316	-1.194617089	-0.53448914	-0.174769422	-0.315120952	-0.584098069
P23589	1.638824028	1.329703119	1.178384196	0.459977655	-1.172062328	-0.652003561	-1.509907861	-0.843219794	0.142679798	-0.288624627	-0.063206254	-0.22054437
P52196	1.16849247	1.177970823	1.709550741	0.855851047	-0.674569137	-0.832477693	-1.417622488	-1.055561302	-0.173044745	-0.438245236	-0.007322868	-0.313021613
Q8C196	1.21554697	1.253630774	1.141718801	0.809946389	-1.029335099	-1.122657331	-1.599582995	-0.849965984	-0.296004612	0.170071924	0.49004083	-0.183409666
Q8QZR5	0.925063501	1.836580323	0.844216033	1.094938332	-0.795359162	-0.887487746	-1.268821824	-1.13548597	0.198883185	-0.19119427	0.057460763	-0.678793165
O35658	0.835086532	1.444436138	1.331300635	0.822358198	-1.15566402	-0.892460743	-1.263394471	-1.191286732	0.250802117	0.186025704	0.293524484	-0.660727843
Q8R059	1.488113527	-0.193215115	1.550023777	1.38753748	-1.072288192	-0.585087904	-1.131635346	-0.913192596	-0.518708742	0.223488162	-0.600775496	0.365740445
P62075	1.749966608	0.936055566	1.348523371	0.507643704	-1.280992029	-0.495123701	-0.962145335	-1.378779946	0.275710128	-0.109985283	-0.225883472	-0.364989611
Q9D0B5	1.333058572	1.099483673	1.598735754	0.789419004	-1.177906471	-0.628939252	-0.94855696	-1.125233663	0.131653554	0.164348147	-0.81519194	-0.420870419
Q99N87	0.957973732	0.459471382	2.1513435	0.593505556	-0.490068686	-1.210972079	-1.120234903	-1.270845881	0.423943391	-0.141929183	-0.337584621	-0.014602208
Q8VCX1	1.104441719	0.927423633	0.942474528	1.175366272	-0.645113218	-1.626670615	-1.216399271	-1.321268839	0.27460069	0.038811769	0.509215488	-0.162882156
A7MCT6	1.208019506	0.849399956	1.073562993	1.440209908	-0.71981394	-1.349651616	-0.803429313	-1.368366672	0.276476978	-0.143887045	0.283881926	-0.74640268
Q8BWM0	1.330625619	0.579643486	0.994892902	1.595988783	-0.96754021	-1.352532131	-1.070200749	-0.789623002	0.271009519	0.243925022	-0.006030509	-0.83015873
Q9WVT6	1.006710838	0.362816962	1.489855074	1.558906657	-0.420001661	-1.106526527	-1.566443338	-0.799887468	0.384824234	-0.526597897	0.133502666	-0.51715954
Q8BK72	1.747240122	0.357899637	1.482576432	0.933988274	-1.164135606	-0.977704672	-0.991256583	-0.800926889	-0.493094139	-0.126617621	0.542235229	-0.510204183
Q9CPQ8	0.525641843	0.812596347	1.466996642	1.061267919	-1.938398386	-0.935220569	-0.541664841	-0.87054673	-0.19327606	-0.115359733	0.990923519	-0.262959951
Q922D8	2.246208142	0.373780326	0.196770198	0.731053589	-1.184779328	-0.734411832	-1.398214987	-0.519214614	0.856145397	0.098130476	-0.098223883	-0.567243482
Q61176	1.668182008	1.009338767	0.516915263	1.514123373	-0.747586145	-0.773449742	-1.305519502	-1.044915481	-0.403747757	0.213579179	0.042198979	-0.689118942
Q8BGT5	1.381272094	1.649815092	0.026669914	1.322789712	-0.856730479	-0.75446832	-1.099285768	-1.096072425	0.173932723	0.147635518	0.028476771	-0.924034832
Q99J99	1.240061964	0.783915099	0.504722597	0.696303186	-1.162130767	-1.389349441	-1.491474829	-1.193317655	0.35337183	0.803419899	0.574505531	0.279972586
Q9WU79	1.598309315	1.2881381	0.748390777	0.592755423	-0.93097424	-1.031032136	-1.096108506	-1.455795622	0.442095329	0.245658035	0.178592321	-0.580028795
Q8VBW8	1.229196116	1.467819988	0.257432322	0.963277346	-1.14106855	-0.535660689	-1.501710976	-1.361361532	0.082013509	0.696313195	0.185702643	-0.341953372
Q8CHR6	1.164353495	1.089055797	0.777080226	0.955197859	-0.987973094	-0.834399218	-1.718736917	-1.319226635	0.08038233	0.521806416	0.496363856	-0.223904116
Q8VCR7	1.733956584	0.153215089	-0.392751547	1.559836793	-0.555618083	-1.181711953	-0.548310889	-1.356024721	0.958815822	0.493961727	-0.42231457	-0.443054253
