Gene	LOG2FC(HFDLEA/HFD)	P VALUE(HFDLEA/HFD)		Gene	LOG2FC(NCD/HFD)	P VALUE(NCD/HFD)
Q99N42	2.723393155	0.00011431		Q60847	3.907179454	0.252098225
Q8BPM0	2.695448596	0.075048714		Q9CQC2	3.782179215	0.363261537
Q70FJ1	2.608398531	0.440930133		Q9CR35	3.682262493	0.356841518
P21460	2.539917181	0.227731909		Q9QUK9	3.648621213	0.375455586
Q5SX79	2.501246978	0.105963484		Q99MQ4	3.617387188	0.223903253
P01680	2.468637467	0.131446803		Q91WN1	3.56955866	0.063517006
Q9DCH6	2.442729682	0.08415751		Q8K0C5	3.490289131	0.398751754
Q9JJJ3	2.313178969	0.132703592		P09542	3.440492052	0.253621532
Q9EP53	2.298645687	0.464611646		P58044	3.419484985	0.001380839
Q62230	2.128193456	0.099384067		Q9JI91	3.401607278	0.110486045
Q60847	1.943456789	0.500781526		Q920E5	3.317840145	3.37407E-06
Q9R257	1.919783773	0.000741287		P00688	3.229136619	0.359463835
Q9CQP3	1.902466797	0.026645993		D3Z4S3	3.208918782	0.069777579
Q8CGU1	1.860715788	0.193345445		P26645	2.928157962	0.078021853
P09542	1.813172674	0.517085048		P60334	2.897801275	0.001435195
Q6Q477	1.811769329	0.021990128		D3Z6P0	2.621347176	0.410189455
Q9R0Y5	1.750318587	0.525627745		Q6P8J7	2.557057394	0.312812836
Q91XC8	1.731326404	0.07611617		P51667	2.533802477	0.250762322
Q8K2T4	1.700817119	0.078290108		Q9R1J0	2.509527639	0.000391553
P25446	1.693489185	0.533756994		Q9R008	2.507418794	9.34925E-05
P26350	1.648077437	0.001995771		O70423	2.466228405	0.299712511
Q78XF5	1.644145344	0.006679311		Q9D0D5	2.413648627	0.00274029
Q60893	1.623644256	0.262993919		Q6P8U6	2.391369597	0.333910568
P11404	1.603686017	0.388694334		Q6NZA9	2.357280333	0.036239901
Q8BXQ2	1.492566355	0.131388913		P21460	2.323633082	0.141479425
Q3UV17	1.492112849	0.187558229		Q8R519	2.285454897	1.83134E-05
O70423	1.489548889	0.384774486		P11352	2.281843035	2.19307E-07
P07310	1.479487863	0.235995461		Q9QXG4	2.27472999	4.58519E-05
Q9JLR9	1.477357034	0.068633636		A8C756	2.239644581	0.264648316
Q9CRC3	1.447630399	0.573788754		P01786	2.146636899	0.119473925
Q9Z1Y4	1.441764739	0.109027182		O70209	2.112937792	0.132215094
Q8BHS3	1.433266364	0.144818717		Q9D1G2	2.11110408	0.000439846
P46656	1.410188516	0.066853203		Q8BGC0	2.094633937	0.012197639
Q80XC2	1.386029477	0.268654227		P25446	2.030967788	0.369076863
