Term	NES	Pvalue
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.506282001	0.002102137
HALLMARK_PEROXISOME	-1.670308918	0.003320625
HALLMARK_ALLOGRAFT_REJECTION	1.58204429	0.017763136
HALLMARK_MTORC1_SIGNALING	-1.398011552	0.018909048
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-1.472680217	0.041666667
HALLMARK_MITOTIC_SPINDLE	1.368359816	0.048959081
HALLMARK_SPERMATOGENESIS	-1.419680693	0.089630931
HALLMARK_FATTY_ACID_METABOLISM	-1.280580226	0.094249201
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.367430545	0.113689095
HALLMARK_G2M_CHECKPOINT	1.230315745	0.14921466
HALLMARK_ANGIOGENESIS	1.27141105	0.201327434
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-1.15585066	0.26369863
HALLMARK_MYOGENESIS	-1.11490058	0.274038462
HALLMARK_INFLAMMATORY_RESPONSE	1.114361514	0.28
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.096771778	0.326241135
HALLMARK_TGF_BETA_SIGNALING	-1.109715256	0.32798574
HALLMARK_APOPTOSIS	1.027822532	0.402088773
HALLMARK_KRAS_SIGNALING_UP	-1.040376536	0.417808219
HALLMARK_P53_PATHWAY	-1.009637834	0.444622793
HALLMARK_UV_RESPONSE_UP	-1.003455558	0.445880452
HALLMARK_KRAS_SIGNALING_DN	1.000105511	0.458333333
